Nombre,Edad,Ciudad,Documento de Identidad,Fecha de Nacimiento,Teléfono,Dirección
Fernando Rodríguez Alonso,29,Valladolid,40437421V,1997-07-14,967488773,"Paseo de la Castellana, 148, 7ºB"
Fernando Álvarez Rodríguez,83,Madrid,21957737Z,1943-01-03,748784671,"Calle Real, 79, 8ºB"
Ricardo Ruiz López,26,Las Palmas,83598645N,2000-12-17,946842132,"Calle Nueva, 4, 3ºA"
Paula Sánchez González,77,Málaga,87454142K,1949-05-14,665606308,"Plaza de España, 104, 1ºD"
Andrés Muñoz Martínez,79,Vigo,72937320J,1947-03-11,985674963,"Plaza de España, 122, 3ºC"
Carmen Gutiérrez Moreno,23,Palma,46755028F,2003-09-03,666620967,"Calle de la Paz, 134, 1ºC"
Javier Martín García,23,Gijón,64121662N,2003-12-07,989846513,"Avenida de la Constitución, 135, 6ºA"
Raquel Gutiérrez Pérez,43,Sevilla,12738372X,1983-07-08,674598653,"Calle de la Paz, 31, 2ºD"
Ana Martín González,27,Alicante,88035868F,1999-08-11,910946278,"Calle Ancha, 107, 8ºD"
Carlos González Ruiz,65,Valladolid,89840029H,1961-05-29,647683297,"Calle Mayor, 84, 4ºC"
Marta Romero González,33,Las Palmas,70745449H,1993-03-29,619797832,"Avenida de la Constitución, 76, 4ºB"
Javier Ruiz Álvarez,46,Las Palmas,31705187T,1980-04-15,658486120,"Calle Real, 82, 1ºD"
Raquel Gutiérrez Pérez,85,Córdoba,63066506L,1941-05-13,673815952,"Calle del Sol, 126, 6ºC"
Andrés Gómez Martín,32,Alicante,65847432J,1994-07-18,738498368,"Avenida de la Constitución, 11, 7ºC"
Isabel Díaz Pérez,43,Alicante,23709961X,1983-06-17,736078410,"Avenida de Madrid, 100, 7ºD"
Andrés Ruiz Jiménez,60,Bilbao,98159682V,1966-01-05,743605451,"Calle Real, 112, 1ºB"
Carlos Jiménez Romero,71,Zaragoza,65623390L,1955-02-19,691055881,"Calle Real, 117, 8ºD"
Raquel García Martínez,51,Sevilla,47129342X,1975-01-26,677977978,"Avenida de la Constitución, 98, 2ºC"
Luis López Jiménez,57,Palma,58881533F,1969-09-26,943714708,"Plaza de España, 143, 4ºC"
Juan Gutiérrez Ruiz,66,Madrid,53066195N,1960-02-18,979395203,"Calle de la Paz, 75, 2ºB"
Miguel Ruiz Moreno,69,Sevilla,16583375W,1957-10-25,627590633,"Calle de la Paz, 121, 6ºD"
María López Gutiérrez,70,Sevilla,78513012S,1956-12-23,732011367,"Calle de la Paz, 133, 6ºB"
Ana García Alonso,78,Vigo,71745273C,1948-06-08,650053191,"Plaza de España, 4, 7ºA"
Javier Muñoz Gutiérrez,18,Barcelona,31590846S,2008-06-19,660121180,"Calle del Sol, 145, 5ºB"
Lucía González Martín,54,Palma,37764536F,1972-01-07,738720054,"Calle Ancha, 102, 7ºC"
Elena Moreno Moreno,70,Murcia,72121056T,1956-06-24,739794556,"Avenida de Madrid, 22, 6ºD"
Pedro Alonso Rodríguez,33,Bilbao,34092108T,1993-04-03,646387867,"Calle Mayor, 84, 6ºA"
Lucía Moreno Díaz,46,Vigo,29309023X,1980-12-09,722172584,"Plaza de España, 60, 5ºC"
Javier Hernández Ruiz,66,Sevilla,17608565J,1960-01-16,953193302,"Calle de la Paz, 123, 6ºD"
Diego Martínez Fernández,39,Sevilla,80270302A,1987-12-19,655828969,"Calle Ancha, 43, 5ºC"
Marta Gómez Díaz,33,Zaragoza,65131395G,1993-08-26,684838949,"Avenida de la Constitución, 30, 2ºC"
Luis Muñoz Gómez,57,Valladolid,20111195F,1969-08-06,739802227,"Avenida de la Constitución, 113, 2ºB"
Fernando Jiménez Fernández,56,Málaga,82395943X,1970-11-13,947896991,"Plaza de España, 78, 7ºC"
Ricardo Ruiz Alonso,31,Valencia,88565435J,1995-12-15,641023245,"Calle de la Paz, 23, 4ºA"
Raquel Rodríguez Moreno,74,Bilbao,71876867W,1952-10-02,927609878,"Calle Real, 88, 8ºD"
Lucía López Alonso,40,Valladolid,21343297N,1986-05-13,657621186,"Plaza de España, 61, 1ºC"
Diego Martínez Sánchez,69,Vigo,48707488N,1957-05-14,725312371,"Calle del Sol, 49, 3ºB"
Pedro Sánchez Moreno,68,Barcelona,39682747J,1958-05-13,687804829,"Calle del Sol, 19, 8ºD"
María González González,44,Valencia,98902965F,1982-09-26,986691949,"Plaza de España, 52, 3ºA"
Sofía Martín López,34,Alicante,56682916K,1992-11-14,613626229,"Calle Real, 128, 2ºA"
Luis Rodríguez Jiménez,83,Zaragoza,83114170H,1943-05-15,939789661,"Calle Ancha, 77, 3ºC"
Diego González Muñoz,36,Palma,11937618V,1990-07-29,793340290,"Plaza de España, 63, 1ºA"
María Martínez Martínez,67,Alicante,17011680F,1959-03-06,741154139,"Plaza de España, 93, 4ºC"
Ana Romero Alonso,58,Málaga,29408548C,1968-05-24,926608284,"Calle del Sol, 146, 1ºB"
Diego Martínez Hernández,61,Madrid,44788334B,1965-07-16,651786744,"Calle Mayor, 129, 2ºC"
Sofía Romero Hernández,49,Bilbao,85607615H,1977-11-11,771849428,"Calle Ancha, 111, 7ºB"
María Alonso Martín,23,Vigo,78185768C,2003-08-18,720030233,"Calle Real, 80, 7ºA"
María Jiménez Sánchez,43,Gijón,86658849A,1983-11-17,960242000,"Calle del Sol, 53, 3ºB"
Carmen Pérez González,42,Córdoba,97929106D,1984-06-30,717169620,"Calle Ancha, 75, 1ºB"
Carlos Gómez Alonso,64,Murcia,10460261H,1962-04-21,975354029,"Calle Real, 128, 5ºD"
Ana Díaz Gutiérrez,78,Zaragoza,10960735G,1948-11-19,694430152,"Calle del Sol, 54, 1ºD"
Ricardo Romero Muñoz,54,Gijón,57653742W,1972-04-29,991721719,"Calle del Sol, 14, 8ºA"
Ricardo Álvarez Gutiérrez,58,Málaga,24667581C,1968-07-05,912115874,"Plaza de España, 73, 5ºB"
Lucía García Martín,73,Zaragoza,75765601F,1953-01-26,780213579,"Paseo de la Castellana, 83, 6ºC"
María Hernández Gómez,59,Gijón,23806764R,1967-09-30,681027715,"Avenida de la Constitución, 36, 3ºB"
Luis Jiménez Fernández,33,Murcia,91967662R,1993-01-01,632489145,"Calle Mayor, 139, 8ºC"
Juan Ruiz Rodríguez,29,Palma,47524310J,1997-07-28,967561426,"Avenida de Madrid, 64, 4ºB"
Sofía Gómez López,52,Alicante,69558568R,1974-08-04,740347414,"Calle Ancha, 118, 6ºC"
Luis López Sánchez,24,Sevilla,82928421T,2002-07-03,913302413,"Avenida de la Constitución, 22, 1ºD"
Ricardo López Muñoz,43,Bilbao,41209423L,1983-12-04,651749312,"Plaza de España, 70, 3ºC"
Miguel Fernández Díaz,75,Valladolid,20715876P,1951-08-14,629208748,"Calle Nueva, 118, 5ºC"
Ana García Alonso,19,Málaga,75474780A,2007-07-06,634566927,"Calle de la Paz, 50, 7ºB"
Luis Martín Pérez,75,Vigo,61000221Y,1951-02-27,965624433,"Calle Ancha, 29, 3ºD"
